r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.1119,0.98,0.13034949428929804,0.07906590310009834,0.14802347458854268,0.08934350070888339,0.9786084787981099,0.004492871633154398,50,0.9875780205803841,0.012421982566686226,50,0.9985800804062346,3.9120230053781455
0.1119,0.981,0.14885483370662356,0.07996869188877057,0.15398576434023975,0.07892037674764135,0.9800857113369994,0.004534728648436086,50,0.9872368016093027,0.012763210563483271,50,0.9990680034016304,3.9120230053781455
0.1119,0.982,0.14704678577080618,0.07756186185305662,0.17642218519234223,0.0888598704128858,0.9802357064255767,0.004640716110634324,50,0.9876684716077075,0.01233153617494916,50,0.9982033670321555,3.9120230053781455
0.1119,0.983,0.1273574017493505,0.06494136849610448,0.161267596388424,0.06851976975484608,0.981398440457254,0.00468273484221856,50,0.9878059547017071,0.012194049834033865,50,0.9983707430897802,3.9120230053781455
0.112,0.96,0.16323471869496253,0.0851481908733899,0.16091485123977192,0.0912170400036465,0.9591805187740884,0.004060412702993975,50,0.9868806507156633,0.013119349655865652,50,0.9991463737230087,3.9120230053781455
0.112,0.961,0.15148278398682707,0.08588188160987453,0.16683761994787183,0.09625519657395318,0.9592349689958065,0.0038238804624018906,50,0.9872709366172076,0.01272907529300805,50,0.9981633392256052,3.9120230053781455
0.112,0.962,0.16971228223188517,0.09905405014983544,0.1626660050569599,0.08986839083176772,0.9600313693044156,0.004403210192466948,50,0.9865795833502734,0.013420411730343324,50,0.9979536063455464,3.9120230053781455
0.112,0.963,0.14585369629581676,0.08141954087831985,0.16030523224218257,0.08533927069178983,0.9615593700163266,0.0038193395614037587,50,0.9859266080226567,0.014073389500225164,50,0.9985040187085428,3.9120230053781455
0.112,0.964,0.1529374023768448,0.09286815904795113,0.15741610990610103,0.09253473957099531,0.9627379803411863,0.0037744553640444117,50,0.9870453008817044,0.012954703403179333,50,0.9986908509763344,3.9120230053781455
0.112,0.965,0.15736025988730556,0.08830534504124242,0.15863643379675993,0.09650067517498796,0.9632474438898465,0.0040385182314644896,50,0.9867937024364558,0.013206299639993488,50,0.9981838796785975,3.9120230053781455
0.112,0.966,0.1354179251997471,0.07860063398856484,0.173022619707375,0.08884803457604817,0.964238750784205,0.003966171460396726,50,0.986303592579455,0.013696400184768597,50,0.9981767606461749,3.9120230053781455
0.112,0.967,0.1403864340316202,0.07852273527587797,0.1635099828323158,0.09967924408870715,0.9658107481883035,0.00453411452373157,50,0.986754027602924,0.013245974318000514,50,0.9987701635866634,3.9120230053781455
0.112,0.968,0.13823821281082008,0.09793313648612241,0.15567371596203924,0.09146970450435668,0.967306627381141,0.004983534797503044,50,0.9864774811783019,0.013522525295189974,50,0.9992837059722531,3.9120230053781455
0.112,0.969,0.15060257219065634,0.08863851280864887,0.16567381231292874,0.10079026284854624,0.968066544878776,0.005079159069314134,50,0.9871930563068063,0.0128069435652084,50,0.9990366820214407,3.9120230053781455
0.112,0.97,0.16067223535768768,0.10904126204068489,0.1607119897640303,0.09062920776533966,0.9693116656425547,0.005178336750014897,50,0.9874581154848415,0.012541884222791793,50,0.9992903769510874,3.9120230053781455
0.112,0.971,0.15948504342812764,0.0955096349084438,0.1794361606106068,0.09192714304239251,0.9695893066487271,0.005912621722555845,50,0.987298534009227,0.012701470284570093,50,0.9985471747154759,3.9120230053781455
0.112,0.972,0.13900469491649287,0.07433301903726283,0.15104622340997953,0.09224795284575736,0.9704688399395901,0.005804241624209415,50,0.9865887914011663,0.013411205906911458,50,0.998424732448138,3.9120230053781455
0.112,0.973,0.1632138850250206,0.07813308787955306,0.15814890663464684,0.09248079306494157,0.9706302332609149,0.0054542485913360046,50,0.9869736199711432,0.013026379488089799,50,0.9975644740605498,3.9120230053781455
